var1,var2,n_pairwise,phi,chi2,p_value,table_00,table_01,table_10,table_11,abs_phi
HistoryMentalIllnessTreatmnt_c,MentalIllnessTreatmentCurrnt_c,1200,0.8603981668931618,884.8436824377313,1.9348755359694013e-194,491,0,89,620,0.8603981668931618
MentalHealthProblem_c,HistoryMentalIllnessTreatmnt_c,1200,0.7905580059141654,746.6749725549535,2.1202368726339413e-164,415,45,76,664,0.7905580059141654
MentalHealthProblem_c,MentalIllnessTreatmentCurrnt_c,1200,0.7842950785069842,734.9180248585385,7.635021113404529e-162,451,9,129,611,0.7842950785069842
subclass_cod_benzo,subclass_cod_op,1200,0.4869260144862801,275.89251469088174,5.898092916446145e-62,1094,34,35,37,0.4869260144862801
subclass_cod_antid,subclass_cod_benzo,1200,0.41370522020914013,199.18348147692205,3.1478664145975725e-45,1065,33,63,39,0.41370522020914013
AlcoholProblem_c,AlcoholUseSuspected,1163,0.33043034172095065,124.72683584917178,5.84059437130312e-29,836,83,151,93,0.33043034172095065
HistoryMentalIllnessTreatmnt_c,SuicideAttemptHistory_c,1200,0.32577262568242427,125.76321871308537,3.4644963496314907e-29,462,29,472,237,0.32577262568242427
IntimatePartnerProblem_c,Argument_c,1200,0.3121285473579531,114.68101440643163,9.243164053043119e-27,857,61,195,87,0.3121285473579531
MentalHealthProblem_c,SuicideAttemptHistory_c,1200,0.3093430866406821,113.30511136566633,1.8499974587638232e-26,433,27,501,239,0.3093430866406821
MentalIllnessTreatmentCurrnt_c,SuicideAttemptHistory_c,1200,0.3073950633141755,111.91397281149509,3.731556030291519e-26,528,52,406,214,0.3073950633141755
JobProblem_c,FinancialProblem_c,1200,0.299878976647094,104.11788464566624,1.906296884727747e-24,1030,55,78,37,0.299878976647094
AnyCrisis_c,IntimatePartnerProblem_c,1200,0.28368311465474544,95.03237071030145,1.8729734643837674e-22,751,149,167,133,0.28368311465474544
subclass_cod_antid,subclass_cod_op,1200,0.2528559393835249,72.92857903932327,1.3442744108729457e-17,1053,45,76,26,0.2528559393835249
dap,Military,1179,0.23587202896636011,64.19359003230251,1.127750652231529e-15,503,22,522,132,0.23587202896636011
HistoryMentalIllnessTreatmnt_c,SuicideThoughtHistory_c,1200,0.2296265362773926,62.18904360202919,3.120190669050926e-15,430,61,479,230,0.2296265362773926
SuicideThoughtHistory_c,SuicideAttemptHistory_c,1200,0.22232405014846135,58.071315052392485,2.527855677089245e-14,755,154,179,112,0.22232405014846135
SuicideThoughtHistory_c,SuicideIntentDisclosed_c,1200,0.21664450575681102,54.98158077900453,1.2166467862174264e-13,797,112,200,91,0.21664450575681102
AlcoholProblem_c,SubstanceAbuseOther_c,1200,0.21102365045395513,52.042010931109736,5.432580896270402e-13,832,116,173,79,0.21102365045395513
MentalHealthProblem_c,SuicideThoughtHistory_c,1200,0.21015065821497692,51.99227035015276,5.571954568989794e-13,401,59,508,232,0.21015065821497692
AlcoholUseSuspected,Argument_c,1163,0.18863473607218928,39.786196327735176,2.8334055115399145e-10,893,94,129,47,0.18863473607218928
MentalIllnessTreatmentCurrnt_c,SuicideThoughtHistory_c,1200,0.18150751731982456,38.69105693180008,4.96478604228205e-10,486,94,423,197,0.18150751731982456
MentalHealthProblem_c,dap,1200,-0.18130704910139306,38.700557722179404,4.94067863646098e-10,154,306,385,355,0.18130704910139306
SubstanceAbuseOther_c,subclass_cod_op,1200,0.17676459091085786,35.491498534149024,2.561661787956556e-09,964,41,165,30,0.17676459091085786
AnyCrisis_c,RecentCriminalLegalProblem_c,1200,0.17660431427533918,35.578947368421055,2.4492024372087765e-09,875,25,265,35,0.17660431427533918
MentalIllnessTreatmentCurrnt_c,subclass_cod_antid,1200,0.175201479362158,35.588240657411035,2.4375457336108364e-09,560,20,538,82,0.175201479362158
HistoryMentalIllnessTreatmnt_c,dap,1200,-0.17221249883891823,34.88790194073456,3.492442153580164e-09,170,321,369,340,0.17221249883891823
dap,SuicideAttemptHistory_c,1200,-0.16747371527533744,32.85122760895962,9.948822700713476e-09,378,161,556,105,0.16747371527533744
SuicideAttemptHistory_c,SubstanceAbuseOther_c,1200,0.16736502805836112,32.52990955546587,1.1737220097030638e-08,813,121,192,74,0.16736502805836112
