variable,type,n,non_missing,prevalence_yes,prevalence_yes_pct,top_value,top_value_pct,num_unique_non_missing
homicidedeath,categorical_or_numeric,1200,1200,,,.,100.0,1.0
PrimaryVicSuspRltnshipSuspect1,categorical_or_numeric,1200,1200,,,.,100.0,1.0
NA_c,categorical_or_numeric,1200,1200,,,.,100.0,1.0
FetalAS_c,categorical_or_numeric,1200,1200,,,.,100.0,1.0
DownSyn_c,categorical_or_numeric,1200,1200,,,.,100.0,1.0
InjuryState,categorical_or_numeric,1200,1200,,,44,99.91666666666667,2.0
IncidentCategory_c,categorical_or_numeric,1200,1200,,,1,98.0,4.0
ResidenceState,categorical_or_numeric,1200,1200,,,44,93.41666666666667,17.0
RaceEthnicity_c,categorical_or_numeric,1200,1200,,,1,85.5,8.0
raceeth,categorical_or_numeric,1200,1200,,,2,85.5,5.0
polysubnum,categorical_or_numeric,1200,1200,,,0,80.5,7.0
firearmcat,categorical_or_numeric,1200,1200,,,.,74.5,5.0
Sex,categorical_or_numeric,1200,1200,,,1,74.41666666666666,2.0
InjuryCounty,categorical_or_numeric,1200,1200,,,7,54.25,6.0
residencecounty,categorical_or_numeric,1200,1200,,,7,51.916666666666664,8.0
occcat,categorical_or_numeric,1200,1200,,,1,29.75,9.0
education,categorical_or_numeric,1200,1200,,,2,28.000000000000004,5.0
agecat,categorical_or_numeric,1200,1200,,,5,21.666666666666668,6.0
InjuryCity,categorical_or_numeric,1200,1200,,,59000,13.833333333333334,62.0
SOC2018_MajorGroup,categorical_or_numeric,1200,1200,,,97,12.916666666666668,25.0
SOC2018_MinorGroup,categorical_or_numeric,1200,1200,,,97-9000,12.916666666666668,84.0
residencecity,categorical_or_numeric,1200,1200,,,59000,11.75,62.0
usocc,categorical_or_numeric,1200,1200,,,17,9.25,30.0
SOC2018_DetailedOccupation,categorical_or_numeric,1200,1200,,,00-9900,7.833333333333334,280.0
SOC2018_BroadOccupation,categorical_or_numeric,1200,1200,,,99-9900,7.833333333333334,223.0
residencezip,categorical_or_numeric,1200,1200,,,99999,7.166666666666667,73.0
occupationtext,categorical_or_numeric,1200,1194,,,Student,5.166666666666667,518.0
InjuryZip,categorical_or_numeric,1200,1200,,,2895,4.416666666666667,72.0
Age,categorical_or_numeric,1200,1200,,,56,3.3333333333333335,83.0
CensusTract,categorical_or_numeric,1200,1199,,,413.0,1.5833333333333335,255.0
ResidenceCensusTract,categorical_or_numeric,1200,1199,,,9999.99,1.3333333333333335,327.0
