B01001_001E,B01001_002E,B01001_007E,B01001_008E,B01001_009E,B01001_010E,B01001_011E,B01001_012E,B01001_013E,B01001_014E,B01001_015E,B01001_016E,B01001_017E,B01001_018E,B01001_019E,B01001_020E,B01001_021E,B01001_022E,B01001_023E,B01001_024E,B01001_025E,B01001_031E,B01001_032E,B01001_033E,B01001_034E,GEOID,B01001_035E,B01001_036E,B01001_037E,B01001_038E,B01001_039E,B01001_040E,B01001_041E,B01001_042E,B01001_043E,B01001_044E,B01001_045E,B01001_046E,B01001_047E,B01001_048E,B01001_049E,B01002_001E,B01003_001E,B03002_001E,B03002_003E,B03002_004E,B03002_005E,B03002_006E,B03002_008E,B03002_012E,B05002_001E,B05002_013E,B07003_001E,B07003_004E,B07003_007E,B07003_010E,B07003_013E,B11001_001E,B11001_003E,B11001_006E,B11001_007E,B12001_001E,B12001_002E,B12001_003E,B12001_009E,B12001_010E,B15003_001E,B15003_002E,B15003_003E,B15003_004E,B15003_005E,B15003_006E,B15003_007E,B15003_008E,B15003_009E,B15003_010E,B15003_011E,B15003_012E,B15003_013E,B15003_014E,B15003_015E,B15003_016E,B15003_017E,B15003_018E,B15003_019E,B15003_020E,B15003_021E,B15003_022E,B15003_023E,B15003_024E,B15003_025E,B17001_001E,B17001_002E,B17001_003E,B17001_004E,B17001_005E,B17001_006E,B17001_007E,B17001_008E,B17001_009E,B17001_010E,B17001_011E,B17001_015E,B17001_016E,B17001_017E,B17001_018E,B17001_019E,B17001_020E,B17001_021E,B17001_022E,B17001_023E,B17001_028E,B17001_029E,B17001_030E,B19013_001E,B19057_001E,B19057_002E,B19083_001E,B19301_001E,B21001_001E,B21001_002E,B23025_001E,B23025_002E,B23025_003E,B23025_005E,B23025_007E,B25002_001E,B25002_002E,B25002_003E,B25003_001E,B25003_002E,B25003_003E,B25010_001E,B25014_001E,B25014_005E,B25014_006E,B25014_007E,B25064_001E,B25070_001E,B25070_007E,B25070_008E,B25070_009E,B25070_010E,B25070_011E,B25077_001E,B26001_001E,B26001_002E,B27001_001E,B27001_005E,B27001_008E,B27001_011E,B27001_014E,B27001_017E,B27001_020E,B27001_023E,B27001_026E,B27001_029E
4970,2373,50,18,15,20,160,136,147,121,117,272,121,47,92,123,48,55,45,79,33,78,0,37,56,44001030100,125,85,82,204,163,345,151,37,134,54,79,85,58,55,119,42.5,4970,4970,4003,3,0,229,0,507,4970,530,4944,4267,290,158,229,1739,1025,291,342,3886,1870,538,64,204,3372,0,0,0,0,0,0,0,0,0,0,0,49,19,0,26,319,93,96,231,256,1221,572,273,217,4895,262,12,0,0,0,0,0,7,1,0,4,0,250,0,0,65,0,0,0,5,0,24,123646,1739,7,0.4719,60780,3646,125,3765,2346,2346,46,1419,1819,1739,80,1739,1455,284,2.82,1739,29,0,0,1491,284,38,69,57,42,0,541600,67,,4905,0,0,0,11,0,0,8,0,0
3417,1587,23,0,22,55,43,172,100,61,101,274,66,57,73,11,77,36,25,25,8,38,11,9,0,44001030200,0,144,83,184,184,159,30,33,101,34,44,74,62,13,15,42.4,3417,3417,2867,32,0,130,3,244,3417,239,3385,2953,92,149,183,1244,767,182,203,2785,1327,444,0,113,2289,32,0,0,0,0,0,0,0,0,0,0,22,0,0,15,171,12,49,210,173,670,531,271,133,3417,115,26,0,0,0,0,0,0,0,0,0,11,89,0,0,0,0,0,32,0,16,15,128761,1244,60,0.3723,58180,2447,119,2658,1941,1941,96,717,1257,1244,13,1244,1005,239,2.70,1244,0,0,0,1782,239,11,28,4,79,25,517100,60,,3417,0,42,0,21,0,0,0,0,2
4536,2247,23,32,25,48,92,89,149,203,118,134,257,80,114,15,62,29,61,120,48,96,0,0,57,44001030300,14,69,168,136,168,210,200,70,74,66,76,77,64,96,60,42.9,4536,4536,3934,46,0,188,32,168,4536,369,4519,4369,6,95,49,1604,1165,95,309,3680,1851,534,31,87,3119,3,0,0,0,0,0,4,0,0,0,0,0,5,0,19,414,73,80,225,136,929,724,294,213,4536,272,143,0,0,0,0,0,11,0,0,10,83,129,0,0,0,0,0,0,32,0,97,172609,1604,24,0.3623,64410,3400,180,3602,2457,2457,15,1145,1763,1604,159,1604,1530,74,2.82,1604,0,0,0,2125,74,0,0,0,0,22,532600,18,,4536,0,15,0,9,19,20,0,0,0
4190,1956,15,13,13,81,0,0,85,151,204,235,140,83,25,42,132,53,54,51,12,43,36,29,31,44001030400,0,106,150,219,112,221,123,17,92,69,42,90,53,49,36,43.3,4190,4190,3781,6,0,248,0,68,4190,407,4166,3928,44,79,109,1391,1110,95,148,3089,1485,242,14,32,2646,6,0,0,0,0,0,0,0,0,9,0,0,0,0,0,162,13,113,76,122,894,557,429,265,4190,113,59,0,0,36,0,0,14,0,0,9,0,54,0,0,0,0,0,0,1,0,10,229107,1391,34,0.4701,118594,2907,75,3059,2000,2000,63,1059,1502,1391,111,1391,1332,59,3.00,1391,30,0,0,3501,59,0,0,0,0,33,935500,23,,4190,0,0,0,0,0,0,0,0,0
3343,1583,3,12,19,91,132,165,67,148,84,83,172,45,121,48,39,61,36,20,9,20,34,0,0,44001030500,165,202,69,114,148,87,116,49,61,39,181,98,59,0,124,45.1,3343,3343,2942,58,0,38,0,125,3343,464,3322,2843,246,57,154,1750,485,225,977,2980,1370,570,12,297,2742,65,0,0,0,0,0,26,0,0,0,31,39,13,99,91,786,98,118,276,161,640,239,46,14,3292,481,114,0,0,27,0,0,0,0,53,0,0,367,0,0,0,0,0,0,59,17,124,74444,1750,7,0.4609,50275,2921,140,2922,1887,1887,119,1035,1945,1750,195,1750,605,1145,1.90,1750,0,0,0,1221,1145,184,13,49,303,41,361900,18,,3338,0,0,0,49,0,0,42,0,0
3623,1925,27,163,0,83,148,95,74,168,77,99,133,47,94,63,69,96,77,60,21,16,22,47,80,44001030601,18,53,53,193,86,248,190,55,79,71,20,75,49,74,49,47.0,3623,3623,3227,41,0,44,0,157,3623,276,3622,3295,125,184,10,1363,799,85,461,3163,1675,616,129,116,2634,0,0,0,0,0,0,10,24,49,0,10,0,0,66,53,564,134,121,291,204,768,256,34,50,3577,70,0,0,0,0,0,0,0,0,0,0,0,70,0,0,0,0,0,0,10,19,41,119120,1363,9,0.3774,54478,3072,54,3137,2313,2313,68,824,1572,1363,209,1363,1141,222,2.62,1363,0,0,0,1585,222,14,0,0,25,20,367900,46,,3577,0,0,30,19,19,33,0,0,0
4172,2043,52,38,37,27,59,253,103,69,73,76,254,76,87,68,51,241,122,35,51,22,27,14,4,44001030602,78,113,246,85,112,125,187,41,105,52,61,246,117,95,153,54.5,4172,4172,3849,57,0,0,31,126,4172,506,4125,3893,167,19,46,1849,800,101,828,3772,1843,754,38,205,3434,84,0,0,0,0,30,0,0,5,0,75,23,6,18,33,1179,116,255,301,182,572,394,94,67,4068,455,256,0,0,0,11,0,13,0,67,8,46,199,0,0,0,0,0,0,51,9,109,78542,1849,57,0.4486,47879,3648,218,3734,2312,2305,110,1422,2029,1849,180,1849,1276,573,2.18,1849,0,0,0,1220,573,64,31,50,149,47,361000,150,,4061,0,0,0,11,0,0,6,0,0
2847,1177,0,0,0,41,130,108,29,82,102,64,16,51,61,0,65,92,33,0,15,0,69,0,97,44001030700,289,129,18,182,176,18,63,98,63,22,62,72,21,41,102,40.8,2847,2847,2155,67,7,108,29,250,2847,284,2847,2363,353,22,109,1551,259,374,874,2411,889,379,70,56,2204,55,0,0,0,0,0,0,0,0,0,19,32,0,9,62,419,73,152,189,198,633,283,35,45,2847,313,209,22,0,38,0,0,0,41,28,37,0,104,0,0,0,0,0,0,40,20,0,64858,1551,0,0.4230,49474,2411,113,2411,1752,1752,31,659,2178,1551,627,1551,445,1106,1.83,1551,0,0,0,1339,1106,60,165,21,234,24,360800,14,,2847,0,44,0,65,45,0,0,0,0
6042,2984,610,307,243,162,91,75,70,152,65,115,301,27,105,51,32,76,109,68,58,945,254,171,62,44001030800,104,141,59,98,101,95,159,37,128,32,69,175,83,80,37,22.0,6042,6042,5378,160,4,66,0,153,6042,317,6018,5119,187,161,536,1711,728,179,767,5672,2832,1900,51,132,2793,28,0,0,0,0,0,14,0,0,24,9,9,20,0,12,408,48,259,319,154,879,496,58,56,3380,251,151,0,0,0,0,56,6,17,12,8,0,100,0,0,0,0,0,0,0,11,8,116399,1711,213,0.3938,41476,5547,277,5594,3007,3007,132,2587,1951,1711,240,1711,1055,656,1.96,1711,0,0,0,1525,656,33,13,24,91,10,489600,2694,,6042,0,0,0,14,0,38,3,0,0
6393,3127,34,0,0,95,220,112,176,173,242,195,220,44,227,151,131,173,73,34,92,76,0,72,76,44001030901,395,127,243,232,92,128,451,80,199,84,137,127,145,91,87,45.1,6393,6393,6224,10,0,53,0,79,6393,1047,6325,5443,106,228,548,2258,1511,135,570,5376,2455,672,64,172,4881,37,0,0,0,0,26,55,0,0,0,76,139,205,0,81,1037,197,368,396,257,1332,570,82,23,6240,246,124,0,0,0,0,21,0,71,0,15,0,122,0,0,0,0,0,6,0,21,20,111469,2258,72,0.3829,50318,5221,343,5351,3451,3438,32,1900,2293,2258,35,2258,2103,155,2.75,2258,11,0,0,1856,155,0,0,0,23,17,416100,182,,6227,0,0,101,16,23,0,0,0,0
