GEOID,suicide_count,pop_total,pct_male,pct_age_15_24,pct_age_25_44,pct_age_45_64,pct_age_65p,median_age,pct_hispanic,pct_nh_white,pct_nh_black,pct_nh_aian,pct_nh_asian,pct_nh_two_or_more,median_hh_income,per_capita_income,poverty_rate_all,poverty_rate_child_u18,poverty_rate_elderly_65p,gini_index,hh_public_assistance_share,lfp_rate_16p,unemployment_rate,not_in_labor_force_share_16p,edu_lt_hs_25p,edu_hs_grad_25p,edu_some_college_25p,edu_ba_plus_25p,edu_grad_prof_25p,hh_total,hh_single_person_share,hh_married_couple_share,hh_female_householder_no_spouse_share,avg_hh_size,marital_never_married_share_15p,marital_divorced_share_15p,marital_separated_share_15p,marital_married_share_15p,housing_occupied_share,housing_vacancy_rate,homeownership_rate,renter_occupied_share,overcrowding_rate_gt1pproom,rent_burdened_gt30,rent_burdened_gt50,residential_stability_same_house_1yr,foreign_born_share,uninsured_rate,veteran_share_18p
44001030100,1,4970,0.477464789,0.112474849,0.155935614,0.297585513,0.167605634,42.5,0.102012072,0.805432596,0.000603622,0,0.046076459,0,123646,60780,0.053524004,0.278625954,0.039615846,0.4719,0.004025302,0.62310757,0.019607843,0.37689243,0.027876631,0.09460261,0.12455516,0.677046263,0.314946619,1739,0.19666475,0.589419206,0.16733755,2.82,0.138445703,0.016469377,0.05249614,0.481214617,0.956019791,0.043980209,0.836687752,0.163312248,0.016676251,0.725352113,0.147887324,0,0.106639839,0.003873598,0.034284147
44001030200,4,3417,0.464442493,0.058823529,0.217734855,0.315481416,0.124085455,42.4,0.071407668,0.839040094,0.00936494,0,0.038045069,0.000877963,128761,58180,0.033655253,0.27826087,0.099056604,0.3723,0.048231511,0.730248307,0.049459042,0.269751693,0.030144168,0.074705111,0.118392311,0.701179554,0.408475317,1244,0.16318328,0.616559486,0.146302251,2.7,0.159425494,0,0.040574506,0.476481149,0.989657916,0.010342084,0.807877814,0.192122186,0,0.570093458,0.369158879,0.002363368,0.069944396,0.019022534,0.048630977
44001030300,1,4536,0.49537037,0.08531746,0.179453263,0.314153439,0.170634921,42.9,0.037037037,0.867283951,0.010141093,0,0.041446208,0.007054674,172609,64410,0.059964727,0.040441176,0.286821705,0.3623,0.014962594,0.682121044,0.006105006,0.317878956,0.009939083,0.132734851,0.12119269,0.692529657,0.394677781,1604,0.192643392,0.726309227,0.059226933,2.82,0.145108696,0.008423913,0.023641304,0.50298913,0.909812819,0.090187181,0.953865337,0.046134663,0,0,0,0,0.081349206,0.013888889,0.052941176
44001030500,3,3343,0.473526772,0.142387077,0.228836375,0.28896201,0.213580616,45.1,0.037391564,0.880047861,0.017349686,0,0.011367036,0,74444,50275,0.146111786,0.166320166,0.280112045,0.4609,0.004,0.645790554,0.063063063,0.354209446,0.132749818,0.286652079,0.179431072,0.342450766,0.109044493,1750,0.558285714,0.277142857,0.128571429,1.9,0.191275168,0.004026846,0.09966443,0.459731544,0.899742931,0.100257069,0.345714286,0.654285714,0,0.497282609,0.274456522,0.006622517,0.138797487,0.027261833,0.047928792
44001030601,2,3623,0.531327629,0.166712669,0.175545128,0.305823903,0.199834391,47,0.043334253,0.890698316,0.011316588,0,0.012144632,0,119120,54478,0.019569472,0,0.096685083,0.3774,0.006603081,0.737328658,0.029399049,0.262671342,0.080485953,0.214123007,0.207289294,0.420652999,0.129081245,1363,0.338224505,0.586206897,0.062362436,2.62,0.194751818,0.040784066,0.036674044,0.529560544,0.867048346,0.132951654,0.837123991,0.162876009,0,0.193069307,0.123762376,0.002208724,0.076179961,0.028235952,0.017578125
44001030602,2,4172,0.489693193,0.085810163,0.208293384,0.272291467,0.309683605,54.5,0.030201342,0.922579099,0.013662512,0,0,0.007430489,78542,47879,0.111848574,0.2,0.172600619,0.4486,0.030827474,0.619175147,0.047722343,0.380824853,0.079790332,0.343331392,0.195690157,0.328188701,0.161619103,1849,0.447809627,0.432666306,0.054624121,2.18,0.199893955,0.010074231,0.054347826,0.488600212,0.911286348,0.088713652,0.690102758,0.309897242,0,0.558935361,0.283269962,0,0.121284756,0.004186161,0.059758772
44001030700,4,2847,0.413417633,0.219880576,0.192483316,0.250087812,0.184404636,40.8,0.087811732,0.756937127,0.023533544,0.002458728,0.037934668,0.010186161,64858,49474,0.109940288,0.412140575,0.184761905,0.423,0,0.726669432,0.017694064,0.273330568,0.08030853,0.190108893,0.18784029,0.451905626,0.164700544,1551,0.563507415,0.166989039,0.241134752,1.83,0.157196184,0.029033596,0.023226877,0.368726669,0.712121212,0.287878788,0.28691167,0.71308833,0,0.443622921,0.216266174,0,0.099754127,0.054092027,0.046868519
44001030800,3,6042,0.4938762,0.488083416,0.098477325,0.187520689,0.143992056,22,0.025322741,0.890102615,0.026481298,0.000662032,0.010923535,0,116399,41476,0.074260355,0.362549801,0.031034483,0.3938,0.124488603,0.537540222,0.043897572,0.462459778,0.041532402,0.146079484,0.224131758,0.533118511,0.218403151,1711,0.448275862,0.425482174,0.104617183,1.96,0.334978843,0.008991537,0.023272214,0.499294781,0.876986161,0.123013839,0.61659848,0.38340152,0,0.249226006,0.140866873,0.002492522,0.052466071,0.009102946,0.049936903
44001030901,3,6393,0.489128735,0.151415611,0.166275614,0.293758799,0.207257938,45.1,0.012357266,0.973564837,0.001564211,0,0.008290318,0,111469,50318,0.039423077,0.398373984,0.042264151,0.3829,0.031886625,0.644926182,0.009307737,0.355073818,0.126818275,0.212456464,0.196885884,0.411186232,0.138291334,2258,0.252435784,0.669176262,0.059787422,2.75,0.125,0.011904762,0.031994048,0.456659226,0.984736154,0.015263846,0.931355182,0.068644818,0.004871568,0.166666667,0.166666667,0,0.163772877,0.022482736,0.065696227
44001030902,1,7035,0.497938877,0.137313433,0.133191187,0.294953802,0.3108742,55.1,0.023596304,0.922530206,0.002842928,0,0.007818053,0.00952381,99423,57713,0.093154444,0.207855974,0.126200274,0.4502,0.053040541,0.543495484,0.034585569,0.456504516,0.061153706,0.172325666,0.18985031,0.467506389,0.232201533,2960,0.419256757,0.525675676,0.031418919,2.2,0.179691156,0.034316019,0.040867259,0.502573701,0.911330049,0.088669951,0.770608108,0.229391892,0,0.503888025,0.241057543,0,0.080739161,0.015819042,0.083593365
